r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.45,8.41,13.052206709978202,0.6443354895360867,0.6030667931139626,17824610.37315359,0.45,2.035093647000003,1.0758632171577494,0.43697584812976875,9.477883434028692,0.029984238706290564,0.1179554390563565,0.8173202006951191
0.9,17.8,20.57645499108143,0.8650664075864941,0.7508818346499686,88597866.49802017,0.9,2.035093647000003,1.483852423139462,0.43697584812976875,9.477883434028692,0.14903773615976643,0.235910878112713,0.8173202006951191
1.35,26.0,26.643340631384795,0.9758536048356127,0.8078631259176308,222818254.74143845,1.35,2.5702291511460897,1.6562988052002583,0.5160316527646416,12.80169124124278,0.37482085714192914,0.35386631716906947,1.0322376116420378
1.8,30.9,28.40977472631559,1.0876538197741408,0.8593994572198937,337790732.65890247,1.8,1.8983421328496046,1.8195371124106958,0.3445266419884438,10.459867000569616,0.5682254898582314,0.471821756225426,0.7623990057144712
2.25,34.7,28.156995578363823,1.2323758017231037,1.005311424389659,414758016.3267773,2.25,0.24891584977183806,2.319157802400534,0.014162544608109258,4.374856495220457,0.6976984689449565,0.5897771952817824,0.09996785778955089
2.69,38.8,27.869512015821158,1.39220234563037,1.0427074254688788,485792330.6928069,2.69,0.33219318724251473,2.4561178331351976,0.14228800267171904,0.7755559961365172,0.8171911138723691,0.7051114023591087,0.1334131246819243
3.14,42.5,27.03890715247197,1.5718090883016524,1.100272723773866,533761889.92562044,3.14,0.229346746892405,2.6740528104588566,0.06720427395402494,0.7826872788792121,0.8978846429067292,0.8230668414154653,0.09210865036859547
3.59,45.6,26.289056658617476,1.7345620496067689,1.1691083668001852,576878161.8308682,3.59,0.09565470951255711,2.9459670521190406,0.07033803937989974,0.13008357259594583,0.970414059363396,0.9410222804718217,0.03841618123641874
4.04,48.8,25.52609057415569,1.9117694446092879,1.222858694373391,612053833.2585428,4.04,0.04813122029129469,3.1668570966993634,0.01741113209046103,0.13305363227922054,1.0295859406366041,1.0589777195281782,0.01933012698760683
4.49,51.8,24.616459940454476,2.1042830742235332,1.2491688886430214,632611644.7449495,4.49,0.08074182012225016,3.277718674702754,0.03593404359746088,0.18142243020806192,1.0641679210548545,1.1769331585845348,0.03242696999427398
4.94,54.8,23.785779364990336,2.303897600288796,1.2978303087102538,649832408.0252786,4.94,0.0446489550016505,3.4875028719792924,0.013573252418396598,0.14687188606597107,1.0931363790515358,1.2948885976408913,0.01793160374539574
5.39,56.6,22.912599154177162,2.4702566312596335,1.336778233028745,657926115.1709756,5.39,0.03267923667466544,3.6598470906180354,0.01538026991883503,0.0694352254722776,1.1067514675160166,1.4128440366972477,0.013124408459961556
5.84,58.4,22.092193191261025,2.643467739685583,1.3750271821244084,662720122.0206887,5.84,0.020706525582035284,3.832936859179696,0.001967109224692032,0.21796461340198725,1.1148158595409827,1.530799475753604,0.00831601124073858
6.29,58.5,21.303694515271285,2.7460025751901864,1.3954894355126601,663743288.280852,6.29,0.03729915600750816,3.927097429528335,0.007854812193049432,0.1771177979409236,1.1165370114056634,1.6487549148099607,0.014979828431362146
6.74,57.7,20.562927807099843,2.806020647510988,1.448422840209957,662627481.1609637,6.74,3.5298089882375484e-07,4.1757301814644,1.9274705288631183e-18,0.12459551493442585,1.114660020754395,1.7667103538663171,1.4176174128078068e-07
7.19,57.3,19.850120906432785,2.8866322915660887,1.4769768121072024,658710897.693744,7.19,3.5298089882375484e-07,4.312875466660263,1.9274705288631183e-18,0.12459551493442585,1.1080716145488323,1.8846657929226738,1.4176174128078068e-07
