r_kpc,Vobs,Vlum,DeltaX_obs,DeltaX_pred,M_Msun,D_kpc,I,B,Ient,klum,Mhat,Dhat,Ihat
0.77,35.1,135.41353846643253,0.2592059878023267,0.1780629772385319,3282876490.7891593,0.77,0.09058843231179729,0.2192813282604968,0.0003931438637623598,20.87343800861012,0.01855495499769505,0.05966679581557535,0.26515274006572653
1.59,77.9,181.3490504524355,0.4295583561405618,0.29974451153648163,12158145643.36385,1.59,0.09058843231179729,0.4165453153915988,0.0003931438637623598,20.87343800861012,0.0687183468220605,0.12320805889190235,0.26515274006572653
2.36,115.0,186.30282982284513,0.6172745744621979,0.5285191768908607,19045419872.538597,2.36,0.30468542664825404,0.8916514533346717,0.004366023804791996,21.262643852270816,0.1076455083335198,0.1828748547074777,0.8918155847516359
3.13,156.0,188.001365154618,0.829781208618889,0.3782821326085135,25722074311.947945,3.13,0.08105198092523243,0.5643087160146121,0.0051620963105353445,1.2726270911483533,0.1453822379991007,0.24254165052305304,0.23723950488633852
3.95,192.0,196.11701252058683,0.9790073667364546,0.4205838911415829,35323788749.35771,3.95,0.08025648931267984,0.6505419434757163,0.009894016739399608,0.6510100241842884,0.19965152890502505,0.30608291359938006,0.2349110974353559
4.73,204.0,204.51862726900941,0.997464156317032,0.6273478258216898,46000920711.43085,4.73,0.2339586878403542,1.1389827087538513,0.013653696286533139,4.008926701406707,0.2599991245628485,0.36652460286710575,0.6847981089851924
5.5,209.0,206.54727788087646,1.0118748702199702,0.5750623793812618,54555844925.84128,5.5,0.1424682942428622,1.0049681416147915,0.013894664785660678,1.460791978617399,0.30835191342117046,0.4261913986826811,0.41700532426661224
6.27,220.0,207.24817610777666,1.061529245427916,0.6353680293873899,62616475758.61854,6.27,0.18070884026514955,1.1601683219852894,0.008788348699023639,3.7157930423952448,0.3539109354479973,0.4858581944982564,0.5289355707744606
7.08,231.0,213.0514801638327,1.0842449900951883,0.7663356709347455,74720886290.57571,7.08,0.35825179899371296,1.529787139645854,0.026135573116281747,4.910715020910587,0.4223255691767555,0.5486245641224331,1.0486045923579603
7.86,235.0,222.65660376463126,1.0554369195733213,0.5211402125388994,90601075296.15828,7.86,0.06111359766092079,0.8742034700015154,0.018912365656844884,0.19748305880016415,0.5120810604906078,0.6090662533901589,0.17887976932080352
8.66,245.0,231.89626344553292,1.0565068895883476,0.5453889268116091,108279200173.9167,8.66,0.059616810396153776,0.9320727327469435,0.0013378008795462656,2.65672129249638,0.6119985604242072,0.6710577295621851,0.1744986664093143
9.45,246.0,238.70599762050387,1.0305564269528418,0.810856649959659,125198208910.4399,9.45,0.2970603330069211,1.6655917087786003,0.022636359849504833,3.8983671417519545,0.7076255042317496,0.7322743122820611,0.8694969021046256
10.24,239.0,242.98477832983693,0.9836007080063763,0.8260405904917494,140571648697.6012,10.24,0.29787579947546716,1.7130865647736948,0.025370696382416732,3.497341601338283,0.794516827804505,0.7934908950019371,0.8718837760470125
11.02,240.0,244.92552521123642,0.9798897023616122,0.8176902761851644,153705474459.59113,11.02,0.2551169527326085,1.686892880283266,0.021959763994136815,2.963814164348459,0.8687497593951509,0.8539325842696628,0.7467284434445413
11.79,240.0,245.14606523458622,0.9790081671118734,0.8238082830302478,164741609335.46622,11.79,0.24972622396532754,1.7060663963762663,0.022164348881938543,2.8136710565316867,0.9311264545114298,0.9135993800852381,0.7309497566175529
12.47,246.0,244.03631266678326,1.008046701377176,0.560125978690042,172669251877.62592,12.47,0.0410056974143132,0.9679894242945627,0.0018020938423070022,0.9330630741635707,0.9759338211669527,0.9662921348314606,0.12002385680202644
13.34,241.0,241.6927334447604,0.9971338259330882,0.5790462000925944,181185175815.3507,13.34,0.043976057595300926,1.0149290524867693,0.0030510524847631904,0.6338447638259244,1.0240661788330474,1.0337078651685392,0.12871811412464104
14.11,250.0,239.12264008244807,1.0454886242214516,0.7537954377238891,187589295769.965,14.11,0.13065405088600227,1.4924652682372437,0.010710475708459937,1.593811654830469,1.0602625322112837,1.0933746609841146,0.3824249819653716
14.59,242.0,237.50460648164278,1.018927605594482,0.8100485815620481,191354646314.1521,14.59,0.1931548860196321,1.66308089739994,0.01529040067400984,2.4400151957216822,1.0815444507037895,1.1305695466873305,0.5653652014741707
14.98,244.0,236.18659000883179,1.0330815140303946,0.8611130566291533,194295136934.74173,14.98,0.2872703153754829,1.8250834618155174,0.02580134060372889,3.1984475288854854,1.0981642264672906,1.1607903913211932,0.8408414774105221
15.75,248.0,233.40705280689355,1.0625214491919392,0.5806172377169736,199502413146.28763,15.75,0.040331070161273554,1.0188685274712888,0.002690676179735246,0.6045302785241223,1.1275959690372268,1.2204571871367687,0.11804921986327481
16.52,249.0,230.50526544962048,1.080235627217903,0.7973732948809616,204085142597.2643,16.52,0.16449429835978635,1.6239187176870795,0.01218009783037407,2.221523551756842,1.15349774723938,1.2801239829523439,0.4814755352555802
17.1,246.0,228.11197097039866,1.0784177566547903,0.7847586444019481,206886384330.29294,17.1,0.1477797862128161,1.585358613354606,0.013932921454314967,1.567429005087962,1.1693304824762505,1.325067803177063,0.4325520846390949
17.88,241.0,224.71569282095098,1.0724662660387676,0.6633986774020372,209929738052.64468,17.88,0.0642963948204095,1.235525824134441,0.003919242230679623,1.054802470370685,1.186531644785811,1.3855094924447886,0.18819583061444772
18.65,247.0,221.31097781176604,1.116076583467466,0.6590822036613625,212385271253.0604,18.65,0.061840572119457635,1.2237883601994155,0.004934374882976987,0.7750234732377299,1.200410420961794,1.445176288260364,0.18100762676043092
19.62,234.0,217.1471986924998,1.077610033235406,0.5278563949306759,215103318543.75003,19.62,0.026863892619073435,0.8900784807006484,0.0019735023425392784,0.36567918420636225,1.215772937736901,1.520340953118946,0.07863073192680847
20.78,249.0,212.86505467079374,1.169755178392671,0.6329160956510362,218924279877.97934,20.78,0.05089973089908927,1.1536737150254335,0.0040301826550671604,0.6428449594815027,1.2373691707366734,1.6102285935683842,0.1489837363566346
22.13,236.0,208.49436083501155,1.1319250988603695,0.5816491739959672,223671003067.95538,22.13,0.03620500320795666,1.021459664089215,0.002094880177364496,0.625717056016651,1.2641978483989722,1.7148392096086786,0.1059722037316672
23.0,245.0,205.49872846321944,1.1922214888246891,0.7997944259829205,225832144871.6667,23.0,0.15138411961566586,1.6313668869662745,0.006313418933516141,3.6299114494287097,1.2764127121088955,1.7822549399457572,0.4431019843722817
23.58,243.0,203.54549786227156,1.1938362801049287,0.8506634272660848,227146708377.06436,23.58,0.22511357011541558,1.7913801737005906,0.014248470144987821,3.5566007391982675,1.2838426799290992,1.8271987601704762,0.6589084104760157
25.03,238.0,197.70218966920928,1.2038308751067253,0.737067086236144,227469647045.39276,25.03,0.0960330821496486,1.4433153427325753,0.004624131435011044,1.9943967849475996,1.2856679427663278,1.9395583107322742,0.28108925410358654
25.9,247.0,194.22158196245852,1.2717433227772963,0.73686760311184,227161320071.7987,25.9,0.0960330821496486,1.4427336269823647,0.004624131435011044,1.9943967849475996,1.2839252658378277,2.006974041069353,0.28108925410358654
